Sexo;Comunidades Autónomas;Días trabajados en el domicilio particular;Periodo;Total
Ambos sexos;10 Comunitat Valenciana;Ningún día;2011;1.483,1
Ambos sexos;10 Comunitat Valenciana;Ningún día;2010;1.497,8
Ambos sexos;10 Comunitat Valenciana;Ningún día;2009;1.618,7
Ambos sexos;10 Comunitat Valenciana;Ningún día;2008;1.754,7
Ambos sexos;10 Comunitat Valenciana;Ningún día;2007;1.808,7
Ambos sexos;10 Comunitat Valenciana;Ningún día;2006;1.747,1
Ambos sexos;10 Comunitat Valenciana;No sabe;2021;18,7
Ambos sexos;10 Comunitat Valenciana;No sabe;2020;26
Ambos sexos;10 Comunitat Valenciana;No sabe;2019;16,4
Ambos sexos;10 Comunitat Valenciana;No sabe;2018;14,3
Ambos sexos;10 Comunitat Valenciana;No sabe;2017;15,8
Ambos sexos;10 Comunitat Valenciana;No sabe;2016;13,6
Ambos sexos;10 Comunitat Valenciana;No sabe;2015;11,6
Ambos sexos;10 Comunitat Valenciana;No sabe;2014;22,1
Ambos sexos;10 Comunitat Valenciana;No sabe;2013;10,6
Ambos sexos;10 Comunitat Valenciana;No sabe;2012;17,8
Ambos sexos;10 Comunitat Valenciana;No sabe;2011;13,7
Ambos sexos;10 Comunitat Valenciana;No sabe;2010;12,6
Ambos sexos;10 Comunitat Valenciana;No sabe;2009;8,8
Ambos sexos;10 Comunitat Valenciana;No sabe;2008;5,5
Ambos sexos;10 Comunitat Valenciana;No sabe;2007;9,3
Ambos sexos;10 Comunitat Valenciana;No sabe;2006;8,4
Ambos sexos;11 Extremadura;Total;2021;318,9
Ambos sexos;11 Extremadura;Total;2020;295,3
Ambos sexos;11 Extremadura;Total;2019;306,3
Ambos sexos;11 Extremadura;Total;2018;301,1
Ambos sexos;11 Extremadura;Total;2017;292,8
Ambos sexos;11 Extremadura;Total;2016;292,5
Ambos sexos;11 Extremadura;Total;2015;286,3
Ambos sexos;11 Extremadura;Total;2014;281,9
Ambos sexos;11 Extremadura;Total;2013;271,5
Ambos sexos;11 Extremadura;Total;2012;268,2
Ambos sexos;11 Extremadura;Total;2011;298
Ambos sexos;11 Extremadura;Total;2010;309
Ambos sexos;11 Extremadura;Total;2009;314,4
Ambos sexos;11 Extremadura;Total;2008;322,1
Ambos sexos;11 Extremadura;Total;2007;322,4
Ambos sexos;11 Extremadura;Total;2006;310,8
Ambos sexos;11 Extremadura;Ocasionalmente;2021;8,2
Ambos sexos;11 Extremadura;Ocasionalmente;2020;4,6
Ambos sexos;11 Extremadura;Ocasionalmente;2019;2,4
Ambos sexos;11 Extremadura;Ocasionalmente;2018;6,4
Ambos sexos;11 Extremadura;Ocasionalmente;2017;2
Ambos sexos;11 Extremadura;Ocasionalmente;2016;1,8
Ambos sexos;11 Extremadura;Ocasionalmente;2015;2,4
Ambos sexos;11 Extremadura;Ocasionalmente;2014;3,3
Ambos sexos;11 Extremadura;Ocasionalmente;2013;3
Ambos sexos;11 Extremadura;Ocasionalmente;2012;3
Ambos sexos;11 Extremadura;Ocasionalmente;2011;4,1
Ambos sexos;11 Extremadura;Ocasionalmente;2010;4,3
Ambos sexos;11 Extremadura;Ocasionalmente;2009;3,2
Ambos sexos;11 Extremadura;Ocasionalmente;2008;3,6
Ambos sexos;11 Extremadura;Ocasionalmente;2007;2,5
Ambos sexos;11 Extremadura;Ocasionalmente;2006;2,2
Ambos sexos;11 Extremadura;Más de la mitad de los días que trabajó;2021;16,2
Ambos sexos;11 Extremadura;Más de la mitad de los días que trabajó;2020;20,7
Ambos sexos;11 Extremadura;Más de la mitad de los días que trabajó;2019;5,5
Ambos sexos;11 Extremadura;Más de la mitad de los días que trabajó;2018;6,3
Ambos sexos;11 Extremadura;Más de la mitad de los días que trabajó;2017;7,6
Ambos sexos;11 Extremadura;Más de la mitad de los días que trabajó;2016;6,3
Ambos sexos;11 Extremadura;Más de la mitad de los días que trabajó;2015;4,5
Ambos sexos;11 Extremadura;Más de la mitad de los días que trabajó;2014;8,6
Ambos sexos;11 Extremadura;Más de la mitad de los días que trabajó;2013;8,6
Ambos sexos;11 Extremadura;Más de la mitad de los días que trabajó;2012;4,9
Ambos sexos;11 Extremadura;Más de la mitad de los días que trabajó;2011;6,6
Ambos sexos;11 Extremadura;Más de la mitad de los días que trabajó;2010;5,7
Ambos sexos;11 Extremadura;Más de la mitad de los días que trabajó;2009;5,7
Ambos sexos;11 Extremadura;Más de la mitad de los días que trabajó;2008;5,6
Ambos sexos;11 Extremadura;Más de la mitad de los días que trabajó;2007;4,2
Ambos sexos;11 Extremadura;Más de la mitad de los días que trabajó;2006;2,8
Ambos sexos;11 Extremadura;Ningún día;2021;291,6
Ambos sexos;11 Extremadura;Ningún día;2020;267,5
Ambos sexos;11 Extremadura;Ningún día;2019;296,2
Ambos sexos;11 Extremadura;Ningún día;2018;286,5
Ambos sexos;11 Extremadura;Ningún día;2017;279,9
Ambos sexos;11 Extremadura;Ningún día;2016;280,4
Ambos sexos;11 Extremadura;Ningún día;2015;277,4
Ambos sexos;11 Extremadura;Ningún día;2014;267,9
Ambos sexos;11 Extremadura;Ningún día;2013;258,3
Ambos sexos;11 Extremadura;Ningún día;2012;257,4
Ambos sexos;11 Extremadura;Ningún día;2011;284,5
Ambos sexos;11 Extremadura;Ningún día;2010;296,9
Ambos sexos;11 Extremadura;Ningún día;2009;302,6
Ambos sexos;11 Extremadura;Ningún día;2008;310,2
Ambos sexos;11 Extremadura;Ningún día;2007;313,4
Ambos sexos;11 Extremadura;Ningún día;2006;303,8
Ambos sexos;11 Extremadura;No sabe;2021;3
Ambos sexos;11 Extremadura;No sabe;2020;2,5
Ambos sexos;11 Extremadura;No sabe;2019;2,2
Ambos sexos;11 Extremadura;No sabe;2018;2
Ambos sexos;11 Extremadura;No sabe;2017;3,3
Ambos sexos;11 Extremadura;No sabe;2016;4
Ambos sexos;11 Extremadura;No sabe;2015;2
Ambos sexos;11 Extremadura;No sabe;2014;2,1
Ambos sexos;11 Extremadura;No sabe;2013;1,5
Ambos sexos;11 Extremadura;No sabe;2012;2,9
Ambos sexos;11 Extremadura;No sabe;2011;2,8
Ambos sexos;11 Extremadura;No sabe;2010;2
Ambos sexos;11 Extremadura;No sabe;2009;2,9
Ambos sexos;11 Extremadura;No sabe;2008;2,6
Ambos sexos;11 Extremadura;No sabe;2007;2,3
Ambos sexos;11 Extremadura;No sabe;2006;1,9
Ambos sexos;12 Galicia;Total;2021;867,4
Ambos sexos;12 Galicia;Total;2020;869,6
Ambos sexos;12 Galicia;Total;2019;879,6
Ambos sexos;12 Galicia;Total;2018;851
Ambos sexos;12 Galicia;Total;2017;822,2
Ambos sexos;12 Galicia;Total;2016;823,2
Ambos sexos;12 Galicia;Total;2015;811,9
Ambos sexos;12 Galicia;Total;2014;765,6
Ambos sexos;12 Galicia;Total;2013;777
Ambos sexos;12 Galicia;Total;2012;818,7
Ambos sexos;12 Galicia;Total;2011;846,6
Ambos sexos;12 Galicia;Total;2010;863,2
Ambos sexos;12 Galicia;Total;2009;904,9
Ambos sexos;12 Galicia;Total;2008;923,4
Ambos sexos;12 Galicia;Total;2007;915,7
Ambos sexos;12 Galicia;Total;2006;881,8
Ambos sexos;12 Galicia;Ocasionalmente;2021;41,6
Ambos sexos;12 Galicia;Ocasionalmente;2020;25,1
Ambos sexos;12 Galicia;Ocasionalmente;2019;10,7
Ambos sexos;12 Galicia;Ocasionalmente;2018;10,8
Ambos sexos;12 Galicia;Ocasionalmente;2017;6,1
Ambos sexos;12 Galicia;Ocasionalmente;2016;6
Ambos sexos;12 Galicia;Ocasionalmente;2015;7,7
Ambos sexos;12 Galicia;Ocasionalmente;2014;7,9
Ambos sexos;12 Galicia;Ocasionalmente;2013;10,8
Ambos sexos;12 Galicia;Ocasionalmente;2012;7,3
Ambos sexos;12 Galicia;Ocasionalmente;2011;7,6
Ambos sexos;12 Galicia;Ocasionalmente;2010;7,8
Ambos sexos;12 Galicia;Ocasionalmente;2009;10,7
Ambos sexos;12 Galicia;Ocasionalmente;2008;9,9
Ambos sexos;12 Galicia;Ocasionalmente;2007;7,6
Ambos sexos;12 Galicia;Ocasionalmente;2006;6,4
Ambos sexos;12 Galicia;Más de la mitad de los días que trabajó;2021;47,5
Ambos sexos;12 Galicia;Más de la mitad de los días que trabajó;2020;67,9
Ambos sexos;12 Galicia;Más de la mitad de los días que trabajó;2019;22,9
Ambos sexos;12 Galicia;Más de la mitad de los días que trabajó;2018;19,6
Ambos sexos;12 Galicia;Más de la mitad de los días que trabajó;2017;15,5
Ambos sexos;12 Galicia;Más de la mitad de los días que trabajó;2016;13,1
Ambos sexos;12 Galicia;Más de la mitad de los días que trabajó;2015;15,6
Ambos sexos;12 Galicia;Más de la mitad de los días que trabajó;2014;24,8
Ambos sexos;12 Galicia;Más de la mitad de los días que trabajó;2013;15,9
Ambos sexos;12 Galicia;Más de la mitad de los días que trabajó;2012;21,8
Ambos sexos;12 Galicia;Más de la mitad de los días que trabajó;2011;14,4
Ambos sexos;12 Galicia;Más de la mitad de los días que trabajó;2010;13,3
Ambos sexos;12 Galicia;Más de la mitad de los días que trabajó;2009;19,3
Ambos sexos;12 Galicia;Más de la mitad de los días que trabajó;2008;14,9
Ambos sexos;12 Galicia;Más de la mitad de los días que trabajó;2007;11,6
Ambos sexos;12 Galicia;Más de la mitad de los días que trabajó;2006;16,5
Ambos sexos;12 Galicia;Ningún día;2021;775,2
Ambos sexos;12 Galicia;Ningún día;2020;769,5
Ambos sexos;12 Galicia;Ningún día;2019;834,6
Ambos sexos;12 Galicia;Ningún día;2018;810,5
Ambos sexos;12 Galicia;Ningún día;2017;789,2
Ambos sexos;12 Galicia;Ningún día;2016;794,1
Ambos sexos;12 Galicia;Ningún día;2015;778,3
Ambos sexos;12 Galicia;Ningún día;2014;725,9
Ambos sexos;12 Galicia;Ningún día;2013;744,1
Ambos sexos;12 Galicia;Ningún día;2012;785,1
Ambos sexos;12 Galicia;Ningún día;2011;816,6
Ambos sexos;12 Galicia;Ningún día;2010;837,2
Ambos sexos;12 Galicia;Ningún día;2009;870,6
Ambos sexos;12 Galicia;Ningún día;2008;895
Ambos sexos;12 Galicia;Ningún día;2007;888,8
Ambos sexos;12 Galicia;Ningún día;2006;854,3
Ambos sexos;12 Galicia;No sabe;2021;3,1
Ambos sexos;12 Galicia;No sabe;2020;7,2
Ambos sexos;12 Galicia;No sabe;2019;11,5
Ambos sexos;12 Galicia;No sabe;2018;10,1
Ambos sexos;12 Galicia;No sabe;2017;11,4
Ambos sexos;12 Galicia;No sabe;2016;10,1
Ambos sexos;12 Galicia;No sabe;2015;10,3
Ambos sexos;12 Galicia;No sabe;2014;7,1
Ambos sexos;12 Galicia;No sabe;2013;6,2
Ambos sexos;12 Galicia;No sabe;2012;4,5
Ambos sexos;12 Galicia;No sabe;2011;8
Ambos sexos;12 Galicia;No sabe;2010;4,8
Ambos sexos;12 Galicia;No sabe;2009;4,2
Ambos sexos;12 Galicia;No sabe;2008;3,6
Ambos sexos;12 Galicia;No sabe;2007;7,7
Ambos sexos;12 Galicia;No sabe;2006;4,5
Ambos sexos;13 Madrid, Comunidad de;Total;2021;2.765,2
Ambos sexos;13 Madrid, Comunidad de;Total;2020;2.690,7
Ambos sexos;13 Madrid, Comunidad de;Total;2019;2.782,1
Ambos sexos;13 Madrid, Comunidad de;Total;2018;2.633,2
Ambos sexos;13 Madrid, Comunidad de;Total;2017;2.548,3
Ambos sexos;13 Madrid, Comunidad de;Total;2016;2.537,6
Ambos sexos;13 Madrid, Comunidad de;Total;2015;2.451,4
Ambos sexos;13 Madrid, Comunidad de;Total;2014;2.346,9
Ambos sexos;13 Madrid, Comunidad de;Total;2013;2.385,2
Ambos sexos;13 Madrid, Comunidad de;Total;2012;2.467,4
Ambos sexos;13 Madrid, Comunidad de;Total;2011;2.499,7
Ambos sexos;13 Madrid, Comunidad de;Total;2010;2.654,6
Ambos sexos;13 Madrid, Comunidad de;Total;2009;2.629,6
Ambos sexos;13 Madrid, Comunidad de;Total;2008;2.694
Ambos sexos;13 Madrid, Comunidad de;Total;2007;2.742,4
Ambos sexos;13 Madrid, Comunidad de;Total;2006;2.662,7
Ambos sexos;13 Madrid, Comunidad de;Ocasionalmente;2021;181,3
Ambos sexos;13 Madrid, Comunidad de;Ocasionalmente;2020;111,4
Ambos sexos;13 Madrid, Comunidad de;Ocasionalmente;2019;65,3
Ambos sexos;13 Madrid, Comunidad de;Ocasionalmente;2018;61,5
Ambos sexos;13 Madrid, Comunidad de;Ocasionalmente;2017;64,6
Ambos sexos;13 Madrid, Comunidad de;Ocasionalmente;2016;44,3
Ambos sexos;13 Madrid, Comunidad de;Ocasionalmente;2015;45,6
Ambos sexos;13 Madrid, Comunidad de;Ocasionalmente;2014;33,2
Ambos sexos;13 Madrid, Comunidad de;Ocasionalmente;2013;69,1
Ambos sexos;13 Madrid, Comunidad de;Ocasionalmente;2012;37,6
Ambos sexos;13 Madrid, Comunidad de;Ocasionalmente;2011;34,9
Ambos sexos;13 Madrid, Comunidad de;Ocasionalmente;2010;21,7
Ambos sexos;13 Madrid, Comunidad de;Ocasionalmente;2009;38,5
Ambos sexos;13 Madrid, Comunidad de;Ocasionalmente;2008;30,3
Ambos sexos;13 Madrid, Comunidad de;Ocasionalmente;2007;31,7
Ambos sexos;13 Madrid, Comunidad de;Ocasionalmente;2006;29,2
Ambos sexos;13 Madrid, Comunidad de;Más de la mitad de los días que trabajó;2021;414,4
Ambos sexos;13 Madrid, Comunidad de;Más de la mitad de los días que trabajó;2020;484
Ambos sexos;13 Madrid, Comunidad de;Más de la mitad de los días que trabajó;2019;71,6
Ambos sexos;13 Madrid, Comunidad de;Más de la mitad de los días que trabajó;2018;55,4
Ambos sexos;13 Madrid, Comunidad de;Más de la mitad de los días que trabajó;2017;77,1
Ambos sexos;13 Madrid, Comunidad de;Más de la mitad de los días que trabajó;2016;52,4
Ambos sexos;13 Madrid, Comunidad de;Más de la mitad de los días que trabajó;2015;50,9
Ambos sexos;13 Madrid, Comunidad de;Más de la mitad de los días que trabajó;2014;63,5
Ambos sexos;13 Madrid, Comunidad de;Más de la mitad de los días que trabajó;2013;50,9
Ambos sexos;13 Madrid, Comunidad de;Más de la mitad de los días que trabajó;2012;64,5
Ambos sexos;13 Madrid, Comunidad de;Más de la mitad de los días que trabajó;2011;49,5
Ambos sexos;13 Madrid, Comunidad de;Más de la mitad de los días que trabajó;2010;52,8
Ambos sexos;13 Madrid, Comunidad de;Más de la mitad de los días que trabajó;2009;36,6
Ambos sexos;13 Madrid, Comunidad de;Más de la mitad de los días que trabajó;2008;40,9
Ambos sexos;13 Madrid, Comunidad de;Más de la mitad de los días que trabajó;2007;23,4
Ambos sexos;13 Madrid, Comunidad de;Más de la mitad de los días que trabajó;2006;21,7
Ambos sexos;13 Madrid, Comunidad de;Ningún día;2021;2.146,6
Ambos sexos;13 Madrid, Comunidad de;Ningún día;2020;2.033,9
Ambos sexos;13 Madrid, Comunidad de;Ningún día;2019;2.601,4
Ambos sexos;13 Madrid, Comunidad de;Ningún día;2018;2.464,6
Ambos sexos;13 Madrid, Comunidad de;Ningún día;2017;2.355,3
Ambos sexos;13 Madrid, Comunidad de;Ningún día;2016;2.400,6
Ambos sexos;13 Madrid, Comunidad de;Ningún día;2015;2.301,4
Ambos sexos;13 Madrid, Comunidad de;Ningún día;2014;2.202,8
Ambos sexos;13 Madrid, Comunidad de;Ningún día;2013;2.209,2
Ambos sexos;13 Madrid, Comunidad de;Ningún día;2012;2.314,1
Ambos sexos;13 Madrid, Comunidad de;Ningún día;2011;2.393,8
Ambos sexos;13 Madrid, Comunidad de;Ningún día;2010;2.562,5
Ambos sexos;13 Madrid, Comunidad de;Ningún día;2009;2.525,8
Ambos sexos;13 Madrid, Comunidad de;Ningún día;2008;2.602,6
Ambos sexos;13 Madrid, Comunidad de;Ningún día;2007;2.667,1
Ambos sexos;13 Madrid, Comunidad de;Ningún día;2006;2.589,8
Ambos sexos;13 Madrid, Comunidad de;No sabe;2021;23
Ambos sexos;13 Madrid, Comunidad de;No sabe;2020;61,4
Ambos sexos;13 Madrid, Comunidad de;No sabe;2019;43,9
Ambos sexos;13 Madrid, Comunidad de;No sabe;2018;51,7
Ambos sexos;13 Madrid, Comunidad de;No sabe;2017;51,4
Ambos sexos;13 Madrid, Comunidad de;No sabe;2016;40,3
Ambos sexos;13 Madrid, Comunidad de;No sabe;2015;53,4
Ambos sexos;13 Madrid, Comunidad de;No sabe;2014;47,4
Ambos sexos;13 Madrid, Comunidad de;No sabe;2013;56
Ambos sexos;13 Madrid, Comunidad de;No sabe;2012;51,2
Ambos sexos;13 Madrid, Comunidad de;No sabe;2011;21,6
Ambos sexos;13 Madrid, Comunidad de;No sabe;2010;17,5
Ambos sexos;13 Madrid, Comunidad de;No sabe;2009;28,7
Ambos sexos;13 Madrid, Comunidad de;No sabe;2008;20,1
Ambos sexos;13 Madrid, Comunidad de;No sabe;2007;20,2
Ambos sexos;13 Madrid, Comunidad de;No sabe;2006;22
Ambos sexos;14 Murcia, Región de;Total;2021;535,6
Ambos sexos;14 Murcia, Región de;Total;2020;523,7
Ambos sexos;14 Murcia, Región de;Total;2019;515,1
Ambos sexos;14 Murcia, Región de;Total;2018;507,4
Ambos sexos;14 Murcia, Región de;Total;2017;487,3
Ambos sexos;14 Murcia, Región de;Total;2016;468,9
Ambos sexos;14 Murcia, Región de;Total;2015;435,9
Ambos sexos;14 Murcia, Región de;Total;2014;441,6
Ambos sexos;14 Murcia, Región de;Total;2013;426,3
Ambos sexos;14 Murcia, Región de;Total;2012;428
Ambos sexos;14 Murcia, Región de;Total;2011;459,1
Ambos sexos;14 Murcia, Región de;Total;2010;467,6
Ambos sexos;14 Murcia, Región de;Total;2009;472,1
Ambos sexos;14 Murcia, Región de;Total;2008;516,2
Ambos sexos;14 Murcia, Región de;Total;2007;528
Ambos sexos;14 Murcia, Región de;Total;2006;509
Ambos sexos;14 Murcia, Región de;Ocasionalmente;2021;19,7
Ambos sexos;14 Murcia, Región de;Ocasionalmente;2020;11,7
Ambos sexos;14 Murcia, Región de;Ocasionalmente;2019;11,6
Ambos sexos;14 Murcia, Región de;Ocasionalmente;2018;10,8
Ambos sexos;14 Murcia, Región de;Ocasionalmente;2017;5,1
Ambos sexos;14 Murcia, Región de;Ocasionalmente;2016;5,7
Ambos sexos;14 Murcia, Región de;Ocasionalmente;2015;5,1
Ambos sexos;14 Murcia, Región de;Ocasionalmente;2014;6,9
Ambos sexos;14 Murcia, Región de;Ocasionalmente;2013;6,7
Ambos sexos;14 Murcia, Región de;Ocasionalmente;2012;6,8
Ambos sexos;14 Murcia, Región de;Ocasionalmente;2011;11,7
Ambos sexos;14 Murcia, Región de;Ocasionalmente;2010;7,1
Ambos sexos;14 Murcia, Región de;Ocasionalmente;2009;8,3
Ambos sexos;14 Murcia, Región de;Ocasionalmente;2008;8,6
Ambos sexos;14 Murcia, Región de;Ocasionalmente;2007;3,4
Ambos sexos;14 Murcia, Región de;Ocasionalmente;2006;1,5
Ambos sexos;14 Murcia, Región de;Más de la mitad de los días que trabajó;2021;22,1
Ambos sexos;14 Murcia, Región de;Más de la mitad de los días que trabajó;2020;38,1
Ambos sexos;14 Murcia, Región de;Más de la mitad de los días que trabajó;2019;12,9
Ambos sexos;14 Murcia, Región de;Más de la mitad de los días que trabajó;2018;11,8
Ambos sexos;14 Murcia, Región de;Más de la mitad de los días que trabajó;2017;6,4
Ambos sexos;14 Murcia, Región de;Más de la mitad de los días que trabajó;2016;8,9
Ambos sexos;14 Murcia, Región de;Más de la mitad de los días que trabajó;2015;8,5
Ambos sexos;14 Murcia, Región de;Más de la mitad de los días que trabajó;2014;7,9
Ambos sexos;14 Murcia, Región de;Más de la mitad de los días que trabajó;2013;10,4
Ambos sexos;14 Murcia, Región de;Más de la mitad de los días que trabajó;2012;14,1
Ambos sexos;14 Murcia, Región de;Más de la mitad de los días que trabajó;2011;13,3
Ambos sexos;14 Murcia, Región de;Más de la mitad de los días que trabajó;2010;10
Ambos sexos;14 Murcia, Región de;Más de la mitad de los días que trabajó;2009;7
Ambos sexos;14 Murcia, Región de;Más de la mitad de los días que trabajó;2008;9
Ambos sexos;14 Murcia, Región de;Más de la mitad de los días que trabajó;2007;7,2
Ambos sexos;14 Murcia, Región de;Más de la mitad de los días que trabajó;2006;8,7
Ambos sexos;14 Murcia, Región de;Ningún día;2021;486,6
Ambos sexos;14 Murcia, Región de;Ningún día;2020;462,1
Ambos sexos;14 Murcia, Región de;Ningún día;2019;483
Ambos sexos;14 Murcia, Región de;Ningún día;2018;480,4
Ambos sexos;14 Murcia, Región de;Ningún día;2017;469,3
Ambos sexos;14 Murcia, Región de;Ningún día;2016;447,1
Ambos sexos;14 Murcia, Región de;Ningún día;2015;416,5
Ambos sexos;14 Murcia, Región de;Ningún día;2014;422
Ambos sexos;14 Murcia, Región de;Ningún día;2013;407,7
Ambos sexos;14 Murcia, Región de;Ningún día;2012;402,6
Ambos sexos;14 Murcia, Región de;Ningún día;2011;430
Ambos sexos;14 Murcia, Región de;Ningún día;2010;449,4
Ambos sexos;14 Murcia, Región de;Ningún día;2009;452,3
Ambos sexos;14 Murcia, Región de;Ningún día;2008;495,9
Ambos sexos;14 Murcia, Región de;Ningún día;2007;514,3
Ambos sexos;14 Murcia, Región de;Ningún día;2006;495,1
Ambos sexos;14 Murcia, Región de;No sabe;2021;7,1
Ambos sexos;14 Murcia, Región de;No sabe;2020;11,8
Ambos sexos;14 Murcia, Región de;No sabe;2019;7,7
Ambos sexos;14 Murcia, Región de;No sabe;2018;4,4
Ambos sexos;14 Murcia, Región de;No sabe;2017;6,5
Ambos sexos;14 Murcia, Región de;No sabe;2016;7,2
Ambos sexos;14 Murcia, Región de;No sabe;2015;5,7
Ambos sexos;14 Murcia, Región de;No sabe;2014;4,7
Ambos sexos;14 Murcia, Región de;No sabe;2013;1,5
Ambos sexos;14 Murcia, Región de;No sabe;2012;4,5
Ambos sexos;14 Murcia, Región de;No sabe;2011;4,1
Ambos sexos;14 Murcia, Región de;No sabe;2010;1,2
Ambos sexos;14 Murcia, Región de;No sabe;2009;4,5
Ambos sexos;14 Murcia, Región de;No sabe;2008;2,8
Ambos sexos;14 Murcia, Región de;No sabe;2007;3,1
Ambos sexos;14 Murcia, Región de;No sabe;2006;3,7
Ambos sexos;15 Navarra, Comunidad Foral de;Total;2021;234,8
Ambos sexos;15 Navarra, Comunidad Foral de;Total;2020;234,9
Ambos sexos;15 Navarra, Comunidad Foral de;Total;2019;245,2
Ambos sexos;15 Navarra, Comunidad Foral de;Total;2018;239,7
Ambos sexos;15 Navarra, Comunidad Foral de;Total;2017;237,2
Ambos sexos;15 Navarra, Comunidad Foral de;Total;2016;220,3
Ambos sexos;15 Navarra, Comunidad Foral de;Total;2015;208,3
Ambos sexos;15 Navarra, Comunidad Foral de;Total;2014;218,8
Ambos sexos;15 Navarra, Comunidad Foral de;Total;2013;207,4
Ambos sexos;15 Navarra, Comunidad Foral de;Total;2012;219,1
Ambos sexos;15 Navarra, Comunidad Foral de;Total;2011;234,8
Ambos sexos;15 Navarra, Comunidad Foral de;Total;2010;227,5
Ambos sexos;15 Navarra, Comunidad Foral de;Total;2009;235,2
Ambos sexos;15 Navarra, Comunidad Foral de;Total;2008;246,8
Ambos sexos;15 Navarra, Comunidad Foral de;Total;2007;233,1
Ambos sexos;15 Navarra, Comunidad Foral de;Total;2006;227,3
Ambos sexos;15 Navarra, Comunidad Foral de;Ocasionalmente;2021;4,3
Ambos sexos;15 Navarra, Comunidad Foral de;Ocasionalmente;2020;5
Ambos sexos;15 Navarra, Comunidad Foral de;Ocasionalmente;2019;2
Ambos sexos;15 Navarra, Comunidad Foral de;Ocasionalmente;2018;2,6
Ambos sexos;15 Navarra, Comunidad Foral de;Ocasionalmente;2017;2,7
Ambos sexos;15 Navarra, Comunidad Foral de;Ocasionalmente;2016;2,3
Ambos sexos;15 Navarra, Comunidad Foral de;Ocasionalmente;2015;0,2
Ambos sexos;15 Navarra, Comunidad Foral de;Ocasionalmente;2014;1,2
Ambos sexos;15 Navarra, Comunidad Foral de;Ocasionalmente;2013;2
Ambos sexos;15 Navarra, Comunidad Foral de;Ocasionalmente;2012;1,7
Ambos sexos;15 Navarra, Comunidad Foral de;Ocasionalmente;2011;1,7
Ambos sexos;15 Navarra, Comunidad Foral de;Ocasionalmente;2010;1,8
Ambos sexos;15 Navarra, Comunidad Foral de;Ocasionalmente;2009;1,4
Ambos sexos;15 Navarra, Comunidad Foral de;Ocasionalmente;2008;2,7
Ambos sexos;15 Navarra, Comunidad Foral de;Ocasionalmente;2007;2,4
Ambos sexos;15 Navarra, Comunidad Foral de;Ocasionalmente;2006;2,8
Ambos sexos;15 Navarra, Comunidad Foral de;Más de la mitad de los días que trabajó;2021;13,5
Ambos sexos;15 Navarra, Comunidad Foral de;Más de la mitad de los días que trabajó;2020;13,5
Ambos sexos;15 Navarra, Comunidad Foral de;Más de la mitad de los días que trabajó;2019;4,4
Ambos sexos;15 Navarra, Comunidad Foral de;Más de la mitad de los días que trabajó;2018;4,3
Ambos sexos;15 Navarra, Comunidad Foral de;Más de la mitad de los días que trabajó;2017;3,5
Ambos sexos;15 Navarra, Comunidad Foral de;Más de la mitad de los días que trabajó;2016;2,9
Ambos sexos;15 Navarra, Comunidad Foral de;Más de la mitad de los días que trabajó;2015;1,7
Ambos sexos;15 Navarra, Comunidad Foral de;Más de la mitad de los días que trabajó;2014;2,9
Ambos sexos;15 Navarra, Comunidad Foral de;Más de la mitad de los días que trabajó;2013;3
Ambos sexos;15 Navarra, Comunidad Foral de;Más de la mitad de los días que trabajó;2012;2,4
Ambos sexos;15 Navarra, Comunidad Foral de;Más de la mitad de los días que trabajó;2011;3,2
Ambos sexos;15 Navarra, Comunidad Foral de;Más de la mitad de los días que trabajó;2010;3
Ambos sexos;15 Navarra, Comunidad Foral de;Más de la mitad de los días que trabajó;2009;2,6
Ambos sexos;15 Navarra, Comunidad Foral de;Más de la mitad de los días que trabajó;2008;3
Ambos sexos;15 Navarra, Comunidad Foral de;Más de la mitad de los días que trabajó;2007;4,7
Ambos sexos;15 Navarra, Comunidad Foral de;Más de la mitad de los días que trabajó;2006;2,1
Ambos sexos;15 Navarra, Comunidad Foral de;Ningún día;2021;215,1
Ambos sexos;15 Navarra, Comunidad Foral de;Ningún día;2020;213,7
Ambos sexos;15 Navarra, Comunidad Foral de;Ningún día;2019;236,6
Ambos sexos;15 Navarra, Comunidad Foral de;Ningún día;2018;230,6
Ambos sexos;15 Navarra, Comunidad Foral de;Ningún día;2017;227,8
Ambos sexos;15 Navarra, Comunidad Foral de;Ningún día;2016;213,5
Ambos sexos;15 Navarra, Comunidad Foral de;Ningún día;2015;204,7
Ambos sexos;15 Navarra, Comunidad Foral de;Ningún día;2014;212,9
Ambos sexos;15 Navarra, Comunidad Foral de;Ningún día;2013;200,7
Ambos sexos;15 Navarra, Comunidad Foral de;Ningún día;2012;213
Ambos sexos;15 Navarra, Comunidad Foral de;Ningún día;2011;227,7
Ambos sexos;15 Navarra, Comunidad Foral de;Ningún día;2010;220,7
Ambos sexos;15 Navarra, Comunidad Foral de;Ningún día;2009;227,6
Ambos sexos;15 Navarra, Comunidad Foral de;Ningún día;2008;240,5
Ambos sexos;15 Navarra, Comunidad Foral de;Ningún día;2007;225
Ambos sexos;15 Navarra, Comunidad Foral de;Ningún día;2006;220,9
Ambos sexos;15 Navarra, Comunidad Foral de;No sabe;2021;1,9
Ambos sexos;15 Navarra, Comunidad Foral de;No sabe;2020;2,5
Ambos sexos;15 Navarra, Comunidad Foral de;No sabe;2019;2,2
